Seconds,Minutes,Is Summary/Message,Word Count,Words In Interface of Proposal
15,0.25,Messenger,2,0
30,0.5,FALSE,13,13
45,0.75,FALSE,18,31
63,1.05,Messenger,8,31
67,1.116666667,Messenger,1,31
89,1.483333333,FALSE,8,39
105,1.75,FALSE,6,45
123,2.05,FALSE,15,60
128,2.133333333,Messenger,15,60
152,2.533333333,FALSE,10,70
168,2.8,FALSE,9,79
189,3.15,FALSE,12,91
203,3.383333333,FALSE,11,102
215,3.583333333,FALSE,9,111
222,3.7,FALSE,5,116
239,3.983333333,TRUE,55,171
243,4.05,FALSE,12,183
264,4.4,FALSE,26,209
283,4.716666667,FALSE,10,219
297,4.95,FALSE,5,224
313,5.216666667,FALSE,8,232
323,5.383333333,FALSE,7,239
331,5.516666667,FALSE,7,246
347,5.783333333,FALSE,8,254
355,5.916666667,FALSE,20,274
365,6.083333333,FALSE,3,277
398,6.633333333,FALSE,24,301
409,6.816666667,FALSE,10,311
429,7.15,FALSE,16,327
448,7.466666667,FALSE,26,353
463,7.716666667,FALSE,15,368
473,7.883333333,FALSE,5,373
483,8.05,Messenger,19,373
503,8.383333333,FALSE,5,378
530,8.833333333,FALSE,28,406
538,8.966666667,FALSE,11,417
542,9.033333333,FALSE,17,434
660,11,FALSE,35,469
663,11.05,FALSE,10,479
670,11.16666667,FALSE,15,494
672,11.2,Messenger,58,494
688,11.46666667,Messenger,28,494
701,11.68333333,FALSE,16,510
703,11.71666667,FALSE,5,515
704,11.73333333,FALSE,4,519
710,11.83333333,FALSE,4,523
721,12.01666667,TRUE,64,587
727,12.11666667,FALSE,14,601
733,12.21666667,FALSE,2,603
747,12.45,FALSE,81,684
758,12.63333333,FALSE,24,708
772,12.86666667,FALSE,34,742
798,13.3,FALSE,21,763
802,13.36666667,FALSE,5,768
823,13.71666667,FALSE,36,804
852,14.2,FALSE,13,817
960,16,FALSE,10,827
964,16.06666667,Messenger,8,827
969,16.15,Messenger,2,827
970,16.16666667,Messenger,2,827
971,16.18333333,FALSE,2,829
985,16.41666667,FALSE,57,886
988,16.46666667,FALSE,2,888
993,16.55,TRUE,39,927
999,16.65,Messenger,13,927
1005,16.75,FALSE,2,929
1013,16.88333333,Messenger,12,929
1021,17.01666667,Messenger,16,929
1023,17.05,FALSE,2,931
1025,17.08333333,Messenger,15,931
1053,17.55,Messenger,15,931
1085,18.08333333,Messenger,14,931
1111,18.51666667,Messenger,19,931
1131,18.85,Messenger,12,931
1153,19.21666667,Messenger,7,931
1170,19.5,Messenger,8,931
1187,19.78333333,Messenger,14,931
1217,20.28333333,Messenger,10,931
1223,20.38333333,Messenger,3,931
1229,20.48333333,Messenger,2,931
1231,20.51666667,FALSE,2,933
1235,20.58333333,FALSE,2,935
1238,20.63333333,Messenger,15,935
1244,20.73333333,Messenger,8,935
1253,20.88333333,Messenger,2,935
1258,20.96666667,Messenger,8,935
1267,21.11666667,Messenger,14,935
1274,21.23333333,Messenger,9,935
1309,21.81666667,Messenger,50,935
1313,21.88333333,FALSE,2,937
1322,22.03333333,FALSE,2,939
1331,22.18333333,FALSE,2,941
1339,22.31666667,Messenger,10,941
1349,22.48333333,Messenger,4,941
1361,22.68333333,Messenger,7,941
1373,22.88333333,TRUE,49,990
1383,23.05,Messenger,9,990
1391,23.18333333,TRUE,13,1003
1393,23.21666667,Messenger,12,1003
1396,23.26666667,Messenger,5,1003
1410,23.5,TRUE,46,1049
1446,24.1,TRUE,37,1086
1490,24.83333333,TRUE,23,1109
1523,25.38333333,TRUE,15,1124
1550,25.83333333,TRUE,27,1151
1590,26.5,TRUE,15,1166
1620,27,TRUE,24,1190
1641,27.35,TRUE,26,1216
1663,27.71666667,TRUE,28,1244
1680,28,TRUE,8,1252
1690,28.16666667,TRUE,17,1269
1730,28.83333333,TRUE,123,1392
1743,29.05,TRUE,97,1489
1770,29.5,TRUE,183,1672
1790,29.83333333,TRUE,27,1699